channel,class,human_msgs,bot_msgs,threads,members,first,last,top_people,storage_links,signal_flags,purpose
otto-sport,client-single,435,4,59,14,2026-01-02,2026-07-15,"SJ Sajwani, Joey Merz, Jason Goldenberg, Veronica Snyder (Johnson)","GDocs(43), Accelo(13), GDrive(9), HubSpot(4)",proposal:1; template:1; process:17; renewal:3; kickoff:11,
mercury-mosaics-web,client-web-build,412,0,29,9,2026-01-05,2026-06-30,"Carter S, Casey MacLeod, Jill Fulton, Kaitlyn Benson","GDocs(19), Figma(13), Accelo(10), GDrive(1)",template:1; kickoff:2,
minnesota-oncology,client-single,404,2,38,8,2026-02-20,2026-07-23,"Emma Pavleck, Kaitlyn Benson, SJ Sajwani, Reed Langton-Yanowitz","GDocs(26), Accelo(13), Beautiful.ai(4), GDrive(1)",sow:2; template:2; process:1; kickoff:3,
atwell,client-single,395,1,37,14,2026-01-05,2026-07-23,"Kate Berstene, Rachel Gunderson, Paige DeRoma, Aaron L","Accelo(40), GDocs(40), GDrive(2), HubSpot(2)",contract:2; proposal:9; template:6; process:4; kickoff:3,
aftersun,noise/internal-ops,388,1,2,4,2026-06-03,2026-07-22,"Rachel Gunderson, Arin Seeger, Kiley Moore, Courtney Stageberg",,,
anderson_manufacturing-web,client-web-build,387,0,26,9,2026-01-05,2026-07-09,"Jasper Tung, Brody Howard, Pierre Balian, Lauren C","Figma(10), GDocs(6), GDrive(2), Accelo(1)",sow:2; proposal:1; template:6; process:16; kickoff:1,
tsr-injury-law-web,client-web-build,362,2,19,10,2026-01-29,2026-06-29,"Courtney Stageberg, Mike Voermans, Pierre Balian, Paige DeRoma","GDocs(7), GDrive(4), Accelo(4)",template:4; process:3; kickoff:6,
mmt-all,client-account,358,2,45,13,2026-01-05,2026-07-23,"Rachel Gunderson, Ben Wachholz, Steven Tondi, Carolina Sewald","Accelo(29), GDocs(10), GDrive(1), SharePoint(1)",process:5; renewal:1; kickoff:8,
tccc,client-single,338,1,38,13,2026-01-06,2026-07-21,"Rachel Gunderson, Veronica Snyder (Johnson), Jason Goldenberg, Austin Rodriguez","GDocs(19), GDrive(8), Accelo(7), Dropbox(2)",sow:1; process:5; renewal:2,
turn-style-all,client-account,337,2,37,13,2026-01-05,2026-07-22,"Paige DeRoma, Veronica Snyder (Johnson), SJ Sajwani, Sam Kirchoff","Accelo(11), GDocs(7)",,
delkor-hmi,client-single,333,0,9,3,2026-01-05,2026-06-25,"Kerri Graber, Morgan May, Roslyn Cashman, Brody Howard","Figma(23), GDocs(5)",process:1; kickoff:4,
movie-mondays,noise/internal-ops,322,8,38,30,2026-01-05,2026-07-21,"Paul Patane, Sam Kirchoff, Emma Noriega, Marisa Malahowski",,,"Home of the Collaborate or Die Film Club, for enjoyers of film and those interested in Movie Mondays programming."
mpls-in-office,noise/internal-ops,317,13,53,47,2026-01-02,2026-07-23,"Paul Patane, Megan Terwilliger, Sam Kirchoff, Marisa Malahowski",GDocs(4),kickoff:1,Updates and info for those in the R55 offices
work-smart-it,noise/internal-ops,313,3,25,0,2026-01-26,2026-07-09,"Carter S, Aaron L, Kaitlyn Benson, Marisa Malahowski","GDocs(16), Accelo(6), Notion(1)",proposal:1; template:1; kickoff:6,
halunen-law-web,client-web-build,311,3,21,0,2026-01-15,2026-07-01,"Jasper Tung, Benito Speridon, Brody Howard, Tony Notermann","GDocs(6), Figma(3), GDrive(2), Beautiful.ai(1)",proposal:1; process:1; kickoff:12,
heat-n-glo,client-single,302,1,25,8,2026-01-13,2026-07-22,"Kate Berstene, Carter S, Tony Notermann, Courtney Stageberg","Accelo(25), GDocs(17), GDrive(7), Beautiful.ai(2)",proposal:2; template:1; process:7; renewal:1; kickoff:6,
r55_out-of-office,noise/internal-ops,294,151,49,44,2026-01-05,2026-07-23,"USLACKBOT, Kaitlyn Benson, Paul Patane, Paige DeRoma",GDocs(4),process:3,
nivel-bolt-energy-web,client-web-build,290,1,36,8,2026-02-13,2026-06-11,"Jasper Tung, Mike Voermans, Morgan May, Joe Kerlin","Figma(17), GDocs(9), GDrive(2), Accelo(1)",process:4; kickoff:12,
random,noise/internal-ops,284,12,29,59,2026-01-02,2026-07-21,"Sam Kirchoff, Paul Patane, Rachel Gunderson, Arin Seeger",,kickoff:1,"A place for non-work-related flimflam, faffing, hodge-podge or jibber-jabber you'd prefer to keep out of more focused wo"
client_streamsong_rocket55,client-shared,282,1,31,0,2026-02-11,2026-07-01,"U029L663Y91, UEQ163J13, Emma Pavleck, Devon Gjebre","GDocs(15), Asana(8), GDrive(5), Accelo(1)",contract:1; process:6,
frsecure-web,client-web-build,278,5,14,7,2026-01-09,2026-06-05,"Kerri Graber, Brody Howard, Lauren C, Roslyn Cashman","Figma(9), GDocs(3)",template:6; kickoff:2,
stellar-kent-web,client-web-build,277,1,13,7,2026-01-08,2026-07-13,"Kerri Graber, Lauren C, Alex Samion, Morgan May","GDocs(15), Figma(12), Beautiful.ai(1), GDrive(1)",proposal:1; template:2; process:7; renewal:1; kickoff:4,
client_sewing_down_south_rocket55,client-shared,269,0,39,0,2026-01-20,2026-06-03,"U029L663Y91, UEQ163J13, Devon Gjebre, U04VD7F30TC","Asana(14), GDocs(11), GDrive(3)",process:3; kickoff:18,
toppan-merrill-field-marketers,client-single,268,0,36,6,2026-01-05,2026-07-23,"Rachel Gunderson, Paige DeRoma, Steven Tondi, Joe Kerlin","GDocs(37), Accelo(21)",process:5,
c2-properties-web,client-web-build,259,2,29,7,2026-04-23,2026-07-22,"Benito Speridon, Kerri Graber, Tony Notermann, Lauren C","GDocs(12), Accelo(6), Figma(4), Trello(2)",proposal:5; template:4; process:2; kickoff:2,
lagersmith,client-single,248,4,35,10,2026-01-02,2026-07-07,"Kaitlyn Benson, Emma Noriega, Zander Tsadwa, Carter S","Accelo(27), GDocs(16)",proposal:1; template:2; process:2; renewal:3; kickoff:1,
obviouslee-admin,client-admin(internal),237,1,18,4,2026-03-02,2026-05-05,"Devon Gjebre, Emma Pavleck, Carolina Sewald, Sara Dziedzic","GDocs(14), Accelo(13), Asana(5), GDrive(2)",contract:2; proposal:1; template:1; process:1; renewal:1; kickoff:6,
eck-spiritual-iq-web,client-web-build,216,1,21,9,2026-01-05,2026-06-26,"Kerri Graber, Morgan May, Roslyn Cashman, Kaitlyn Benson","Figma(12), GDocs(4), GDrive(2), Loom(2)",proposal:1; process:2; kickoff:2,
dogsdogsandmoredogs,noise/internal-ops,214,3,30,27,2026-02-04,2026-07-23,"Emma Noriega, Arin Seeger, Veronica Snyder (Johnson), Sam Kirchoff",,,
rainbow-treecare-services-all,client-account,214,2,23,12,2026-01-12,2026-07-22,"Emma Noriega, Courtney Stageberg, Kiley Moore, Zander Tsadwa","Accelo(34), GDocs(28), GDrive(1)",proposal:1; template:3; process:3; renewal:2; kickoff:4,
elite-web,client-web-build,213,1,11,0,2026-01-13,2026-07-22,"Kerri Graber, Brody Howard, Casey MacLeod, Roslyn Cashman","Figma(9), GDrive(3), GDocs(2)",kickoff:8,
halunen-law,client-single,212,0,16,9,2026-01-12,2026-07-23,"Kate Berstene, Aaron L, Joe Kerlin, Paul Patane","GDocs(8), Accelo(4), Notion(1), GDrive(1)",template:2; process:2; kickoff:5,
kafka-all,client-account,212,6,16,13,2026-01-05,2026-07-17,"SJ Sajwani, Arin Seeger, Joey Merz, Emma Noriega","Accelo(14), GDocs(12), HubSpot(4), GDrive(1)",proposal:2; process:9; kickoff:4,
rainbow-play-systems-all,client-account,206,3,17,15,2026-01-05,2026-07-23,"Kate Berstene, Aaron L, Zander Tsadwa, Cori A","GDocs(15), Dropbox(1), GDrive(1)",proposal:2; kickoff:1,
norton-homes-all,client-account,204,1,19,12,2026-01-02,2026-07-21,"Veronica Snyder (Johnson), Evan Wilberg, Emma Noriega, Emily Augustin","Accelo(6), GDocs(6)",template:1,
eckankar-all,client-account,198,0,19,7,2026-01-02,2026-07-22,"Kaitlyn Benson, Joe Kerlin, Rachel Gunderson, Rachel LaBerge","GDocs(20), Accelo(20), GDrive(1)",proposal:3,
gerbig-web,client-web-build,197,3,10,6,2026-01-05,2026-05-18,"Zac Forsman, Kerri Graber, Dylan Guerber, Kate Berstene",,process:2; kickoff:12,
ic-system-all,client-account,194,3,16,11,2026-01-15,2026-07-23,"SJ Sajwani, Aaron L, Joe Kerlin, Steven Tondi","GDocs(17), Accelo(5)",process:1,
ehlers-inc-web,client-web-build,180,0,6,8,2026-01-22,2026-07-20,"Kerri Graber, Casey MacLeod, Jasper Tung, Zac Forsman","Figma(6), Trello(1)",proposal:1; template:1; process:1; kickoff:5,
nivel-madjax-web,client-web-build,180,1,13,3,2026-01-05,2026-01-21,"Zac Forsman, Jasper Tung, Roslyn Cashman, Morgan May",Trello(5),template:6; kickoff:2,
sunrise-all,client-account,178,0,16,12,2026-01-15,2026-07-22,"Joey Merz, Courtney Stageberg, Rachel LaBerge, Zac Forsman","GDocs(15), Accelo(5), HubSpot(4), Figma(1)",proposal:8; template:1; process:1; kickoff:2,
catscatsandmorecats,noise/internal-ops,176,7,32,23,2026-01-22,2026-07-23,"Benito Speridon, Sam Kirchoff, Lauren C, Dylan Guerber",,,
industrial-manufacturing-pod-4,client-single,174,9,12,9,2026-03-19,2026-07-22,"Kiley Moore, Emma Noriega, Zander Tsadwa, Evan Wilberg","GDocs(3), Accelo(3)",contract:1; proposal:1; process:2; renewal:1; kickoff:1,
intense,noise/internal-ops,174,0,18,8,2026-01-08,2026-07-23,"Jasper Tung, Dylan Guerber, Mike Voermans, Morgan May","GDocs(2), Notion(1)",proposal:7; template:1; kickoff:2,Intense Discussions
thern,client-single,173,2,14,11,2026-01-07,2026-07-23,"Kate Berstene, Tony Notermann, Steven Tondi, Ben Wachholz","GDocs(20), GDrive(7), Accelo(3)",process:2; kickoff:1,wins and winches
ecoflix,client-single,170,1,11,0,2026-03-05,2026-04-28,"Kaitlyn Benson, Joey Merz, Devon Gjebre, Jennifer Kohnhorst","GDocs(6), Accelo(6), GDrive(1), Beautiful.ai(1)",sow:1; template:1,
delta-dental-all,client-account,169,0,21,10,2026-01-09,2026-07-21,"Kate Berstene, Emma Noriega, Carter S, Emma Pavleck","Accelo(15), GDocs(13)",sow:3; process:1,
book-club,noise/internal-ops,168,4,21,20,2026-01-05,2026-07-23,"Sam Kirchoff, Paul Patane, Rachel LaBerge, Arin Seeger",,,"Book List
When We Cease to Understand the World by Benjamín Labatut
The Nickel Boys by Colson Whitehead.
Mother Night by"
gougeon_r55,client-single,164,1,27,10,2026-01-05,2026-07-20,"Kate Berstene, U03AEJE8LVA, Robert Portnoy, Jeff Boss","GDocs(9), Figma(6), GDrive(2)",process:2; kickoff:2,
shoutouts,noise/internal-ops,153,7,30,50,2026-01-06,2026-07-22,"Paul Patane, Veronica Snyder (Johnson), Sam Kirchoff, Cori A",,sow:2; proposal:1; process:1; kickoff:2,"Let's recognize and celebrate the amazing work our teammates are doing—whether it’s going above and beyond for a client,"
sedgwick-all,client-account,142,0,12,8,2026-01-16,2026-07-16,"Evan Wilberg, Emma Noriega, Aaron L, Marisa Malahowski","GDocs(3), Accelo(3)",process:1,
rayus-radiology,client-single,141,1,14,11,2026-01-05,2026-07-23,"Evan Wilberg, Emma Pavleck, SJ Sajwani, Carolina Sewald","GDocs(15), Accelo(10), SharePoint(2)",process:2; kickoff:8,
rvi-web-build,client-web-build,140,0,7,0,2026-01-05,2026-04-06,"Kerri Graber, Pierre Balian, Joe Kerlin, Kate Berstene","GDocs(2), GDrive(1)",proposal:1; process:3; kickoff:9,
voans-all,client-account,139,0,7,7,2026-01-08,2026-07-22,"Rachel Gunderson, Jason Goldenberg, Katie, Marisa Malahowski","GDocs(8), Accelo(2)",template:1,
namsa-all,client-account,138,1,8,8,2026-01-20,2026-07-22,"Emma Noriega, Zander Tsadwa, Carter S, Tyler Hetland","GDocs(10), Accelo(3), Beautiful.ai(1)",sow:1; contract:2; proposal:2; template:1; process:1; renewal:1,
snap-fitness,client-single,133,2,22,8,2026-05-12,2026-07-17,"Veronica Snyder (Johnson), Miriam Cooper, Jason Goldenberg, Paul Patane","Accelo(11), GDocs(6), GDrive(2), Beautiful.ai(1)",proposal:1; template:1; process:3; kickoff:3,
sit-strings-all,client-account,132,6,11,0,2026-01-13,2026-07-16,"SJ Sajwani, Emma Noriega, Emma Pavleck, Arin Seeger","GDocs(9), Accelo(4)",proposal:1,
park-dental-partners,client-single,130,1,7,2,2026-02-04,2026-03-17,"Jasper Tung, Morgan May, Pierre Balian, Mike Voermans",Figma(3),,
tactile-medical-all,client-account,129,0,8,11,2026-01-06,2026-07-22,"Joey Merz, Kerri Graber, Jason Goldenberg, Paige DeRoma",GDocs(5),template:1; kickoff:1,
eckberg-lammers-all,client-account,128,1,11,10,2026-01-12,2026-07-21,"Kate Berstene, Rachel LaBerge, Emma Noriega, Aaron L","Accelo(15), GDocs(8), GDrive(1)",proposal:1; template:2; process:2; kickoff:2,
polywater-all,client-account,124,2,13,10,2026-01-09,2026-07-22,"Rachel Gunderson, Emma Noriega, Evan Wilberg, Zander Tsadwa","GDocs(11), Accelo(7), GDrive(1), HubSpot(1)",proposal:8; kickoff:2,
new-wave-all,client-account,123,2,11,14,2026-01-16,2026-07-23,"SJ Sajwani, Tony Notermann, Joe Kerlin, Sam Kirchoff","GDocs(26), Accelo(7), Beautiful.ai(2)",kickoff:1,
big-blue-boxes-all,client-account,121,1,11,0,2026-01-05,2026-06-05,"Emma Noriega, SJ Sajwani, Cori A, Mike Voermans","GDocs(7), Accelo(4)",sow:3; renewal:1; kickoff:1,
ecowater-admin,client-admin(internal),120,1,2,8,2026-01-06,2026-07-22,"Kate Berstene, Tyler Hetland, Rachel Gunderson, Sara Dziedzic","GDocs(8), Accelo(8)",sow:4; process:1,For all things strategy and account management.
bio-plastic-web,client-web-build,118,0,2,5,2026-01-06,2026-07-01,"Kerri Graber, Lauren C, Roslyn Cashman, Brody Howard","Figma(9), GDocs(7)",proposal:1; template:7; process:2; kickoff:2,
prestige-pools,client-single,115,0,9,6,2026-02-10,2026-07-17,"Emma Pavleck, Jason Goldenberg, Katie, Joe Kerlin",GDocs(1),process:1,
kolbe-windows,client-single,114,1,16,8,2026-01-05,2026-07-17,"Kate Berstene, Steven Tondi, Ben Wachholz, Carolina Sewald","Accelo(8), GDocs(6), GDrive(1)",template:1; renewal:1; kickoff:3,
msp-donations-and-aid,noise/internal-ops,111,3,10,0,2026-01-12,2026-05-18,"Veronica Snyder (Johnson), Paul Patane, Sam Kirchoff, Dylan Guerber",GDocs(2),,
cradlepoint-all,client-account,108,0,18,6,2026-01-14,2026-05-21,"Kaitlyn Benson, Steven Tondi, Carter S, Marisa Malahowski","Accelo(14), GDocs(10)",contract:2; kickoff:4,
trutech-all,client-account,107,1,7,7,2026-01-12,2026-07-21,"Evan Wilberg, Jason Goldenberg, Kaitlyn Benson, Marisa Malahowski","GDocs(14), Accelo(7), GDrive(1)",proposal:3; process:1,
festa-della-repubblica,noise/internal-ops,106,4,7,10,2026-01-05,2026-07-21,"Paul Patane, Kiley Moore, Emma Noriega, Courtney Stageberg",,,Preparing for the greatest Italian holiday of them all.
graco,client-single,101,1,10,7,2026-04-27,2026-07-23,"Evan Wilberg, Emma Noriega, Heidi Boaz, Kiley Moore","Accelo(10), GDocs(5), GDrive(2)",sow:1; proposal:1; process:4; renewal:1; kickoff:2,
tolomatic-all,client-account,97,0,12,9,2026-01-07,2026-07-16,"Emma Pavleck, Courtney Stageberg, Evan Wilberg, Zander Tsadwa","GDocs(13), Accelo(3)",proposal:1,
sheet-metal-connectors-all,client-account,95,2,5,10,2026-01-12,2026-07-23,"Kate Berstene, Tony Notermann, Joey Merz, Paul Patane",GDocs(17),proposal:1,
stellar-kent-web-dev-ext,client-web-build,95,1,2,7,2026-05-04,2026-06-17,"Zac Forsman, Kerri Graber, U018LP0EDCL, Jill Fulton",,proposal:2; template:1; process:1; kickoff:1,
ai,noise/internal-ops,92,1,14,30,2026-01-27,2026-07-21,"Mike Voermans, Pierre Balian, JJ Garven, Veronica Snyder (Johnson)",,process:2,Explore and share AI topics.
the-remedy-mental-health,client-single,88,2,7,5,2026-01-13,2026-07-22,"Emma Noriega, Kate Berstene, Zander Tsadwa, Nick Wiese","Accelo(13), GDocs(4)",template:2; kickoff:1,
skywater-web,client-web-build,82,1,4,8,2026-07-02,2026-07-23,"Kerri Graber, Tony Notermann, Eleni A, Lauren C","Figma(6), Accelo(1), Beautiful.ai(1), GDocs(1)",proposal:2; template:1; process:2; kickoff:6,
pm-am-resourcing,noise/internal-ops,80,2,8,12,2026-01-06,2026-07-20,"Kerri Graber, Steven Tondi, Kaitlyn Benson, Kate Berstene",GDocs(2),kickoff:1,
family-and-fun,noise/internal-ops,78,0,10,58,2026-02-02,2026-07-14,"Lauren C, Kiley Moore, Megan Terwilliger, Emma Noriega",,,"This channel is for us to share our lives outside of work. Feel free to post about your hobbies, pics of your kids, pets"
gorilla-all,client-account,78,1,8,5,2026-01-05,2026-06-02,"SJ Sajwani, Veronica Snyder (Johnson), Arin Seeger, Steven Tondi","GDocs(12), Accelo(2), HubSpot(1)",kickoff:1,
industry-news,noise/internal-ops,78,1,13,29,2026-01-12,2026-07-17,"Paul Patane, Veronica Snyder (Johnson), Mike Voermans, Joe Kerlin",,template:1; process:1,
amsoil-aerospace-web-build,client-web-build,77,0,6,4,2026-03-04,2026-04-01,"Dylan Guerber, Alex Samion, Heidi Boaz, Joe Kerlin","GDocs(3), Accelo(1)",process:2; kickoff:10,
park-dental-multisite,client-single,77,0,4,7,2026-06-17,2026-07-21,"Pierre Balian, Mike Voermans, Zac Forsman, Eleni A",Accelo(2),template:1,
ggj-franchise-lawyer,client-single,75,0,10,8,2026-01-27,2026-07-23,"Steven Tondi, Katie, Carter S, Paul Patane","GDocs(10), Accelo(4)",proposal:1,
team-sds-obviouslee,client-single,75,0,12,0,2026-02-05,2026-06-02,"U0AD4NY6CKV, U029L663Y91, UEQ163J13, U04VD7F30TC","GDocs(2), GDrive(1)",proposal:1; kickoff:11,
incertec-recurring,client-retainer,74,5,13,8,2026-01-05,2026-07-21,"Evan Wilberg, SJ Sajwani, Kiley Moore, Emma Noriega","GDocs(15), Accelo(6), Figma(3)",renewal:3,
tenx-all,client-account,71,3,8,8,2026-01-22,2026-07-22,"Rachel Gunderson, Emma Noriega, Zander Tsadwa, Evan Wilberg","GDocs(9), Accelo(9)",contract:1; kickoff:1,
jasco-all,client-account,68,0,5,5,2026-01-15,2026-04-24,"Devon Gjebre, Courtney Stageberg, Heidi Boaz, Sara Dziedzic","GDocs(4), Accelo(3)",contract:1; proposal:1; process:1; kickoff:1,
mhub-accelorator-campaign,client-single,66,1,1,4,2026-05-04,2026-06-23,"Carter S, Aaron L, Devon Gjebre, Tyler Hetland","Beautiful.ai(3), GDocs(1), GDrive(1)",process:1; kickoff:1,
brigade-hometown-exteriors-web,client-web-build,62,1,4,7,2026-05-07,2026-07-15,"Mike Voermans, Benito Speridon, Jill Fulton, Tony Notermann","GDocs(5), Figma(2), Beautiful.ai(1), GDrive(1)",kickoff:3,
standard-metrics-analytics,noise/internal-ops,62,0,1,3,2026-01-06,2026-02-25,"Kerri Graber, Heidi Boaz, Mark Van Cleve",Accelo(2),contract:1; process:1,
industrial-manufacturing-pod-5,client-single,57,8,2,6,2026-03-19,2026-07-23,"Kate Berstene, Courtney Stageberg, Steven Tondi, Nick Wiese","Accelo(2), GDocs(1)",process:1,
alerts-implementation,noise/internal-ops,53,191,31,10,2026-02-10,2026-07-21,"UCGQ2QABH, U09CJEB1M46, U0A8TFVHEAF, U0B0Z9AKJQG",HubSpot(2),contract:1; process:2; renewal:18,
namsa-web,client-web-build,53,0,3,7,2026-03-05,2026-07-16,"Eleni A, Joey Merz, Mike Voermans, Jasper Tung","GDocs(2), HubSpot(1)",proposal:2; template:1; process:1; kickoff:1,
foodies,noise/internal-ops,51,3,1,12,2026-03-23,2026-07-22,"Benito Speridon, Emma Noriega, Kate Berstene, Rachel Gunderson",,,
music,noise/internal-ops,50,0,5,16,2026-01-16,2026-07-21,"Sam Kirchoff, Dylan Guerber, Arin Seeger, Pierre Balian",,,"add links to music, no chat, just throw in links"
